,match_id,league,sport,comp_names,results_value,timestamp,hero,villain,market,line,line_type,price,hero_score,villain_score
51,orl-magic-blanc-phi-76ers-spicyp-202211071830,ebasketball-battle-4x5mins,basketball,"['ORL Magic (Blanc)', 'PHI 76ers (SpicyP)']","['0', '0']",2022-11-07 18:32:25.251339,PHI 76ers (SpicyP),ORL Magic (Blanc),WIN,,,-305,0,0
52,orl-magic-blanc-phi-76ers-spicyp-202211071830,ebasketball-battle-4x5mins,basketball,"['ORL Magic (Blanc)', 'PHI 76ers (SpicyP)']","['0', '0']",2022-11-07 18:32:25.251339,ORL Magic (Blanc),PHI 76ers (SpicyP),TOTAL,6.5,favorite,-110,0,0
53,orl-magic-blanc-phi-76ers-spicyp-202211071830,ebasketball-battle-4x5mins,basketball,"['ORL Magic (Blanc)', 'PHI 76ers (SpicyP)']","['0', '0']",2022-11-07 18:32:25.251339,PHI 76ers (SpicyP),ORL Magic (Blanc),TOTAL,6.5,favorite,-130,0,0
54,washington-wizards-charlotte-hornets-202211071900,nba,basketball,"['Washington Wizards', 'Charlotte Hornets']",[],2022-11-07 18:32:25.359382,Washington Wizards,Charlotte Hornets,SPREAD,1.5,favorite,-110,,
55,washington-wizards-charlotte-hornets-202211071900,nba,basketball,"['Washington Wizards', 'Charlotte Hornets']",[],2022-11-07 18:32:25.359382,Charlotte Hornets,Washington Wizards,SPREAD,1.5,favorite,-110,,
56,washington-wizards-charlotte-hornets-202211071900,nba,basketball,"['Washington Wizards', 'Charlotte Hornets']",[],2022-11-07 18:32:25.359382,Washington Wizards,Charlotte Hornets,WIN,,,+105,,
57,washington-wizards-charlotte-hornets-202211071900,nba,basketball,"['Washington Wizards', 'Charlotte Hornets']",[],2022-11-07 18:32:25.359382,Charlotte Hornets,Washington Wizards,WIN,,,-125,,
58,washington-wizards-charlotte-hornets-202211071900,nba,basketball,"['Washington Wizards', 'Charlotte Hornets']",[],2022-11-07 18:32:25.359382,Washington Wizards,Charlotte Hornets,TOTAL,1.5,favorite,-110,,
59,washington-wizards-charlotte-hornets-202211071900,nba,basketball,"['Washington Wizards', 'Charlotte Hornets']",[],2022-11-07 18:32:25.359382,Charlotte Hornets,Washington Wizards,TOTAL,1.5,favorite,-110,,
60,houston-rockets-orlando-magic-202211071915,nba,basketball,"['Houston Rockets', 'Orlando Magic']",[],2022-11-07 18:32:25.491572,Houston Rockets,Orlando Magic,SPREAD,4.5,favorite,-110,,
